"","Headline","Description","Date"
"1","UK factories stockpile for Brexit at fastest pace in at least 60 years - CBI","With Brexit looming, British factories stockpiled over the last three months at the fastest pace since records began in the 1950s, and they're increasingly downbeat about their prospects, a survey showed on Friday.","2019-04-26"
"2","Goldman Sachs says dragged-out Brexit is doing deeper damage to UK economy","Britain's protracted divorce from the European Union is hurting the world's fifth largest economy as dwindling company investment, signs of a looming labour market shock and poor productivity hinder growth, Goldman Sachs said.","2019-04-26"
"3","UK banks' mortgage approvals hit nine-month high in March - UK Finance","British banks last month approved the greatest number of mortgages since June 2018, a tentative sign that the worst of the housing market's slowdown ahead of Brexit may have passed, data showed on Friday.","2019-04-26"
"4","UK retailers report first rise in sales for five months - CBI","British retail sales rose for the first time in five months in April, a leading employers' group said on Thursday, adding to signs that consumers have recovered their appetite for spending even as the country's Brexit impasse drags on.","2019-04-25"
"5","Bank of England to refrain from rate hike until August 2020 - NIESR","The Bank of England is likely to keep interest rates on hold until August 2020 because of a slower global economy and prolonged uncertainty about Brexit, a leading think tank said on Thursday.","2019-04-25"
"6","Britain starts search for 'highest calibre' Bank of England governor","Chancellor Philip Hammond began the search for a new governor of the Bank of England to help steer the world's fifth-biggest economy, and its global financial centre, through the upheaval of Brexit.","2019-04-24"
"7","Factbox - Who will succeed Carney to run Britain's central bank?","Britain is searching for a new governor of the Bank of England to succeed Mark Carney in early 2020.","2019-04-24"
"8","Hammond misses budget target but deficit hits 17-year low","Finance minister Philip Hammond missed his target for bringing down Britain's budget deficit in the 2018/19 financial year, data showed on Wednesday, even as the shortfall fell to its lowest in 17 years.","2019-04-24"
"9","Brexit clouding UK outlook, limiting investment - Hammond","Chancellor Philip Hammond said Brexit was creating ""very significant"" uncertainty about the economic outlook, deterring business investment and limiting his ability to make long-term plans on spending and taxes.","2019-04-24"
"10","UK raises 2019/20 borrowing target after budget miss","Britain will need to raise an extra 3.7 billion pounds from bond markets during the current financial year, after figures earlier on Wednesday showed higher-than-expected government borrowing, the UK Debt Management Office said.","2019-04-24"
"11","UK's Hammond: We hope to appoint next Bank of England governor in October","The British government hopes to appoint to next Bank of England Governor in October, finance minister Philip Hammond said on Wednesday","2019-04-24"
"12","UK employers fear Brexit hit to economy, but plan more hiring - REC","British employers are their most worried about the economy since the 2016 Brexit referendum, but they also plan to hire extra staff, according to a survey that showed the surprising strength of the jobs market.","2019-04-24"
"13","Britons feel a boost in their finances from rising wages - survey","British households reported the strongest growth in at least a decade in their earnings from work, a survey showed on Tuesday, suggesting that consumers and their spending can keep on supporting the economy during the Brexit crisis.","2019-04-23"
"14","UK consumers keep calm and carry on shopping before Brexit deadline","British shoppers ignored worries about an impending Brexit deadline and spent heavily in March, official data showed on Thursday, supporting the country's sluggish economy while companies were cutting back on investment.","2019-04-18"
"15","London slump drags UK house price growth to more than six-year low","British house prices rose at the weakest rate in six-and-a-half years in February, dragged down by London's biggest price slump in a decade as Brexit uncertainty sent chills through the property market.","2019-04-17"
"16","UK wage growth at new decade high as employers hire in the face of Brexit","British workers' pay grew at its joint fastest pace in over a decade as employers extended their hiring spree, adding to signs that uncertainty about Brexit is prompting firms to take on workers rather than commit to longer-term investments.","2019-04-16"
"17","UK businesses stash cash as Brexit gloom deepens - Deloitte","A growing number of large British-based businesses are prioritising cashflow, fearing a downturn, as their view of the long-term economic impact of Brexit has darkened to its most negative so far, accountancy firm Deloitte said on Monday.","2019-04-15"
"18","UK economy leans on consumers as Brexit drags on business","Moving slowly in the fog of Brexit and slowing global growth, Britain's economy is increasingly reliant on consumers and their spending as business investment and exports fade.","2019-04-15"
"19","UK property asking prices rise, Brexit delay could spur buyers - Rightmove","Asking prices for British homes rose by the most in over a year in the four weeks to April 6, a survey showed, adding to other tentative signs that the housing market may have passed the worst of its slowdown ahead of Brexit.","2019-04-15"
"20","UK fears Brexit could hurt global hunt for new BoE governor","British finance minister Philip Hammond has fired the starting gun for the race to succeed Bank of England Governor Mark Carney, but concerns about Brexit may keep some potential contestants on the sidelines.","2019-04-15"
"21","IMF chief says Brexit delay averts 'terrible outcome'","The six-month delay of Britain's exit from the European Union avoids the ""terrible outcome"" of a ""no-deal"" Brexit that would further pressure a slowing global economy but does nothing to lift uncertainty over the final outcome, the head of the International Monetary Fund said on Thursday.","2019-04-12"
"22","UK house price gauge improves for first time in 8 months - RICS","A measure of British house prices improved for the first time since July but prices are still likely to fall in the coming months as Brexit weighs on the property market, according to a survey published on Thursday.","2019-04-11"
"23","UK economy grows as pre-Brexit stockpiling lifts factories","Britain's Brexit-bound economy unexpectedly grew in February, helped by manufacturers rushing to meet orders from clients who are stockpiling goods ahead of the country's break from the European Union, official data showed.","2019-04-10"
"24","UK economy to lose 3.5 percent of GDP in no-deal Brexit - IMF","Britain will suffer economic damage equivalent to the loss of at least 2-3 years of normal growth between now and the end of 2021 if it leaves the European Union without an exit deal, the International Monetary Fund warned on Tuesday.","2019-04-09"
"25","UK high-street spending falls for first time in 11 months - BRC","British shoppers cut back spending for the first time in almost a year last month, reflecting a mix of seasonal pressures and Brexit worries, the British Retail Consortium said on Tuesday.","2019-04-09"
"26","UK public inflation expectations hold at highest since 2013 - BoE","The British public's expectations for the level of inflation over the coming year remained at their highest in five years, while the proportion expecting interest rates to rise has fallen, Bank of England data showed on Monday.","2019-04-08"
"27","UK house price growth cools in early 2019, outlook subdued - Halifax","British house price growth cooled in the first three months of 2019 in annual terms and the outlook is likely to remain subdued, given Brexit uncertainty and high property prices, mortgage lender Halifax said on Friday.","2019-04-05"
"28","Jump in UK labour costs add to sign of growing inflation pressure","A key measure of employers' labour costs in Britain rose by the most in five years in late 2018, adding to inflation pressures that the Bank of England has said will need to be offset by higher interest rates.","2019-04-05"
"29","Parts of UK government risk further cuts after austerity ends - Hammond","An end to austerity in Britain does not mean all government departments will see their budgets keep pace with inflation, Conservative finance minister Philip Hammond said on Friday.","2019-04-05"
"30","UK firms cut permanent staff hires at fastest pace since 2016: REC","British employers cut permanent staff-hiring at the fastest rate since mid-2016, a sign that the Brexit tumult may be starting to affect Britain's robust labour market, a survey of recruiters showed on Friday.","2019-04-05"
"31","No-deal Brexit may have steep costs for some sectors - WTO chief","If the United Kingdom leaves the European Union without a deal it could have ""very significant"" costs for some parts of the British economy, Roberto Azevedo, Director-General of the World Trade Organisation (WTO), said on Thursday.","2019-04-05"
"32","Brexit - UK loses £6.6 billion a quarter since referendum, S&P says","The United Kingdom has lost £6.6 billion in economic activity every quarter since it voted to leave the European Union, according to S&P Global Ratings, the latest company to estimate the damage from Brexit.","2019-04-04"
"33","UK new car sales fall around 3 percent in March - preliminary data","British new car registrations fell by around an annual 3 percent last month as uncertainty over diesel and Brexit continued to hit consumer confidence, according to preliminary data from an industry body.","2019-04-04"
"34","UK headed for downturn as Brexit worries hammer services","Britain's economy looks likely to shrink over the coming months, after Brexit worries caused the dominant services sector to contract for the first time in nearly three years, a survey showed on Wednesday.","2019-04-03"
"35","UK shop prices rise at fastest rate in six years - British Retail Consortium","Shop prices in Britain recorded the biggest rise in six years in March, mainly due to a sharp increase the cost of non-perishable food, the British Retail Consortium said on Wednesday.","2019-04-03"
"36","UK construction activity slows for second month running - PMI","British construction activity slowed slightly for the second month in a row in March, as businesses continued to postpone major building projects due to Brexit uncertainty, an industry survey showed on Tuesday.","2019-04-02"
"37","Outlook for UK business darkens fast ahead of Brexit, BCC warns","Fading exports and worsening finances spurred a darker outlook for British companies last month, hurt by a slowing global economy and political chaos around Brexit, a survey showed on Tuesday.","2019-04-02"
"38","Brexit uncertainty has cost Britain £600 million a week - Goldman Sachs","Britain's chaotic exit from the European Union has cost the economy about 600 million pounds per week since the 2016 referendum, Goldman Sachs said on Monday in a report that underscores how Brexit uncertainty has dented investment.","2019-04-01"
"39","Stockpiling frenzy drives UK factories ahead of Brexit - PMI","Factories in Britain stockpiled for Brexit at an explosive rate last month, unlike anything seen before in a major rich economy, pushing manufacturing growth to an unexpected 13-month high, a survey showed on Monday.","2019-04-01"
"40","UK's payments gap widens as global slowdown, Brexit weigh","Britain's balance of payments shortfall grew in the last few months of 2018, exacerbated by disappointing trade numbers as the world economy slowed and Brexit neared.","2019-03-29"
"41","UK house prices edge up, London falls again - Nationwide","British house prices picked up only a little bit of speed this month as the approach of Brexit weighed on the housing market, data from mortgage lender Nationwide showed on Friday.","2019-03-29"
"42","UK consumers slow pace of borrowing growth, mortgages fall as Brexit nears","Lending to British consumers grew at its slowest annual pace in four-and-a-half years in February and banks approved fewer mortgages as Brexit approached, Bank of England data showed on Friday.","2019-03-29"
"43","UK consumers hold their nerve in Brexit storm: GfK","British consumers maintained their confidence levels in March as a strong labour market countered worries about the political chaos surrounding Britain's departure from the European Union, a survey showed on Friday.","2019-03-29"
"44","UK consumer sentiment falls to five-year low - EU survey","Consumer sentiment in Britain fell to its lowest point in more than five years in March, the month the country was due to leave the European Union, a European Commission survey of EU business and consumer confidence showed on Thursday.","2019-03-28"
"45","UK politicians must stop 'chasing rainbows' on Brexit - BCC","British politicians have let business down over Brexit and must stop ""chasing rainbows"" and instead take politically difficult decisions to find a consensus, the head of one of Britain's main business associations said on Thursday.","2019-03-28"
"46","UK retail sales fall most in 17 months as Brexit nears - CBI","British retail sales fell by their most in 17 months in March, reflecting concern among shoppers about Britain's unresolved Brexit impasse, a leading employers group said on Wednesday.","2019-03-27"
"47","Brexit turmoil hits UK firms' hiring plans - REC","British companies have scaled back sharply their hiring and investment plans amid the growing turmoil around Britain's exit from the European Union, a survey showed on Wednesday.","2019-03-27"
"48","British banks approve fewer mortgages in February as Brexit nears - UK Finance","British banks approved fewer mortgages in February than during January, industry data showed on Tuesday.","2019-03-26"
"49","UK public's inflation expectations cool in March - Citi/YouGov","The British public's expectations for consumer price inflation in the year ahead cooled to 2.7 percent this month from 2.9 percent in February, a survey showed on Tuesday.","2019-03-26"
"50","Women in UK hold 70 percent of jobs at risk of automation - ONS","Women in Britain are much more likely than men to be working in jobs that are threatened by the advance of technology, the country's statistics office said on Monday.","2019-03-25"
"51","UK economy dodges no-deal Brexit hit, for now","Britain's economy has struggled beneath the weight of Brexit uncertainty for nearly three years, but many business leaders would probably be relieved just to have more of the same for the next few months.","2019-03-25"
"52","Bank of England keeps rates on hold as businesses brace for no-deal Brexit","The Bank of England kept interest rates steady on Thursday and said most businesses felt as ready as they could be for a no-deal Brexit that would likely hammer economic growth and jobs.","2019-03-21"
"53","UK shoppers keep on spending as Brexit approaches","British retailers racked up surprisingly strong sales last month, reinforcing how spending by consumers is a bright spot for the economy ahead of Brexit.","2019-03-21"
"54","UK firms expect to give 2.5 percent basic pay rise this year - XpertHR","British private-sector employers expect to give staff a basic annual pay rise of 2.5 percent this year, the same as in 2018, though some will delay awards until after government Brexit plans are clearer, an industry survey showed on Thursday.","2019-03-21"
"55","UK factory order growth slows ahead of Brexit - CBI","British factory order growth slowed in March as businesses fretted over Brexit, though the outlook for exports and future production growth was brighter, the Confederation of British Industry said on Wednesday.","2019-03-20"
"56","UK inflation up, London house prices fall by most since 2009","Britain's main inflation rate ticked up last month but stayed close to January's two-year low, helping consumers maintain their spending power as wage growth also picked up, even though  the timing of Brexit remained uncertain.","2019-03-20"
"57","UK employers defy approach of Brexit with hiring spree","British employers ramped up their hiring at the fastest pace since 2015 in the three months to January as the labour market defied broader Brexit weakness in the overall economy.","2019-03-19"
"58","UK to launch 'early warning' indicators for next economic shock","Britain will launch a new set of early warning indicators aimed at spotting the next big economic downturn more quickly, based on the volume of road traffic, businesses' value-added tax returns and how long ships spend in port.","2019-03-18"
"59","Britons turn more cautious about big spending as Brexit nears - IHS Markit","British households were the most downbeat about their finances in over a year this month and the approach of Brexit made them more cautious about making major outlays, a survey published on Monday showed.","2019-03-18"
"60","Brexit spurs biggest cut in UK business investment in 10 years - BCC","British companies look set to cut investment by the most in 10 years in 2019 because of Brexit, even if Prime Minister Theresa May gets a deal to ease the country out of the bloc, an employers group said on Monday.","2019-03-18"
