"","Headline","Description","Date"
"1","UK factories stockpile for Brexit at fastest pace in at least 60 years - CBI","With Brexit looming, British factories stockpiled over the last three months at the fastest pace since records began in the 1950s, and they're increasingly downbeat about their prospects, a survey showed on Friday.","2019-04-26"
"2","Hammond optimistic of finding Brexit compromise with Corbyn's Labour","Chancellor Philip Hammond said on Friday that he was hopeful of clinching a Brexit compromise with the Labour Party to allow the ratification of Prime Minister Theresa May's thrice-defeated divorce deal.","2019-04-26"
"3","Goldman Sachs says dragged-out Brexit is doing deeper damage to UK economy","Britain's protracted divorce from the European Union is hurting the world's fifth largest economy as dwindling company investment, signs of a looming labour market shock and poor productivity hinder growth, Goldman Sachs said.","2019-04-26"
"4","Britain wants Brexit deal approved before July - May's deputy","Prime Minister Theresa May's government wants to get her thrice-defeated Brexit deal approved by parliament before the new European parliament opens in July, her de-facto deputy, David Lidington, said on Thursday.","2019-04-25"
"5","European Medicines Agency to appeal Brexit lease case","The European Medicines Agency (EMA), one of the EU's biggest regulators, is appealing against a London ruling that has blocked its plans to break a 25-year, £500 million lease of its London headquarters because of Brexit.","2019-04-25"
"6","Hunt says he would choose no deal over no Brexit","Foreign Secretary Jeremy Hunt said on Thursday he would opt to leave the European Union without a deal if he was faced with a choice between a no-deal Brexit or not leaving the bloc at all.","2019-04-25"
"7","Hunt says next Conservative leader must believe in Brexit","Foreign Secretary Jeremy Hunt said on Thursday the next leader of the governing Conservative Party should be someone who believes in Brexit.","2019-04-25"
"8","Brexit discontent drives new grassroots push for Scottish independence","As Brexit gnaws at Britain's political structure, supporters of an independent Scotland are launching a new grassroots campaign aimed at convincing a large majority of Scots to back a split from the United Kingdom.","2019-04-25"
"9","Factbox: The Brexit law - What is the UK government considering putting to parliament?","Prime Minister Theresa May wants to get her Brexit deal with the European Union approved by lawmakers in time to avoid taking part in next month's European Parliament elections.","2019-04-25"
"10","UK government Brexit talks with Labour cannot be open ended - May's spokesman","British government talks with the Labour Party on finding a Brexit compromise cannot be open ended, Prime Minister Theresa May's spokesman said on Wednesday.","2019-04-24"
"11","Factbox - Brexit delayed: What happens next?","Britain's exit from the European Union was postponed by an agreement in Brussels this month that gave Prime Minister Theresa May until Oct. 31 to persuade parliament to approve the departure terms.","2019-04-24"
"12","UK watchdog urges EU to make financial market access flexible","The European Union's system of financial-market access needs adapting to avoid disputes between the EU and Britain over rules after Brexit, a top UK regulator said on Tuesday.","2019-04-24"
