"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2019","172.99","172.64","176.62","171.95","608.73K","0.21%"
"Apr 19, 2019","172.62","173.30","173.43","168.77","552.11K","-0.37%"
"Apr 18, 2019","173.26","165.76","175.04","165.15","600.34K","4.52%"
"Apr 17, 2019","165.76","165.45","167.07","163.16","385.64K","0.19%"
"Apr 16, 2019","165.45","159.95","166.57","159.45","795.94K","3.40%"
"Apr 15, 2019","160.01","167.05","168.42","155.86","935.05K","-4.21%"
"Apr 14, 2019","167.04","162.99","167.99","161.23","440.70K","2.45%"
"Apr 13, 2019","163.05","163.10","165.10","160.00","487.11K","-0.06%"
"Apr 12, 2019","163.15","164.00","166.23","158.31","534.09K","-0.52%"
"Apr 11, 2019","164.00","177.10","177.35","158.70","949.31K","-7.32%"
"Apr 10, 2019","176.95","174.54","183.10","170.43","485.63K","1.35%"
"Apr 09, 2019","174.59","178.71","178.87","172.01","565.42K","-2.33%"
"Apr 08, 2019","178.75","174.16","185.53","171.16","756.53K","2.64%"
"Apr 07, 2019","174.15","165.48","175.37","164.08","1.00M","5.24%"
"Apr 06, 2019","165.48","164.83","172.60","159.85","765.53K","0.38%"
"Apr 05, 2019","164.85","157.35","167.48","156.21","932.78K","4.79%"
"Apr 04, 2019","157.32","159.87","163.81","152.81","1.34M","-1.60%"
"Apr 03, 2019","159.88","163.24","177.48","150.40","813.19K","-2.17%"
"Apr 02, 2019","163.42","141.24","163.84","141.02","833.97K","15.69%"
"Apr 01, 2019","141.26","141.40","143.02","139.80","1.05M","-0.10%"
"Mar 31, 2019","141.40","141.72","142.34","139.07","849.62K","-0.21%"
"Mar 30, 2019","141.69","142.51","145.63","138.74","861.28K","-1.00%"
"Mar 29, 2019","143.13","137.82","143.34","137.34","761.94K","3.82%"
"Mar 28, 2019","137.86","139.19","139.32","137.30","730.16K","-1.12%"
"Mar 27, 2019","139.42","134.16","139.50","133.83","802.07K","3.95%"
"Mar 26, 2019","134.12","133.95","134.71","132.32","799.43K","0.14%"
"Mar 25, 2019","133.93","136.14","136.83","131.74","862.35K","-1.62%"
"Mar 24, 2019","136.14","137.27","137.27","135.13","920.36K","-0.83%"
"Mar 23, 2019","137.28","136.01","138.20","135.62","778.35K","0.91%"
"Mar 22, 2019","136.04","134.88","137.20","134.30","881.18K","0.90%"
"Mar 21, 2019","134.84","139.04","139.52","132.44","936.99K","-3.01%"
"Mar 20, 2019","139.02","138.56","139.57","136.25","1.01M","0.30%"
"Mar 19, 2019","138.60","137.60","139.33","137.01","1.28M","0.71%"
"Mar 18, 2019","137.63","138.70","141.91","136.65","794.48K","-0.78%"
"Mar 17, 2019","138.71","140.94","140.96","137.38","761.99K","-1.58%"
"Mar 16, 2019","140.94","136.61","144.06","136.61","921.38K","3.18%"
"Mar 15, 2019","136.60","132.19","137.56","132.19","709.70K","3.36%"
"Mar 14, 2019","132.16","131.70","134.94","129.98","777.86K","0.33%"
"Mar 13, 2019","131.72","133.53","133.57","130.81","896.26K","-1.34%"
"Mar 12, 2019","133.52","132.62","134.94","128.66","685.12K","0.69%"
"Mar 11, 2019","132.61","135.36","136.12","131.19","804.77K","-2.03%"
"Mar 10, 2019","135.36","137.17","137.43","134.11","732.66K","-1.32%"
"Mar 09, 2019","137.17","133.61","138.47","132.84","877.80K","2.69%"
"Mar 08, 2019","133.57","136.62","139.17","131.04","780.32K","-1.97%"
"Mar 07, 2019","136.26","137.39","139.52","135.29","783.76K","-0.85%"
"Mar 06, 2019","137.42","136.60","140.18","133.65","1.06M","0.61%"
"Mar 05, 2019","136.59","125.75","137.86","125.14","1.04M","8.61%"
"Mar 04, 2019","125.76","130.44","130.95","122.85","943.18K","-3.59%"
"Mar 03, 2019","130.45","132.54","134.58","128.65","786.86K","-1.58%"
"Mar 02, 2019","132.54","135.32","135.98","130.32","869.32K","-2.05%"
"Mar 01, 2019","135.31","135.36","137.88","135.00","803.72K","-0.02%"
"Feb 28, 2019","135.34","135.01","138.05","132.86","649.08K","0.25%"
"Feb 27, 2019","135.00","136.43","139.87","127.65","588.13K","-0.98%"
"Feb 26, 2019","136.33","137.81","138.41","134.09","447.58K","-1.04%"
"Feb 25, 2019","137.77","132.31","141.35","132.14","663.90K","4.18%"
"Feb 24, 2019","132.24","157.79","165.64","132.03","733.18K","-16.04%"
"Feb 23, 2019","157.51","147.52","159.39","145.87","375.62K","6.75%"
"Feb 22, 2019","147.54","145.68","148.34","143.91","346.73K","1.43%"
"Feb 21, 2019","145.47","148.47","149.27","143.00","454.87K","-2.32%"
"Feb 20, 2019","148.93","143.29","149.21","140.33","633.17K","3.67%"
"Feb 19, 2019","143.66","144.93","148.13","143.24","726.07K","-0.88%"
"Feb 18, 2019","144.93","133.85","146.00","132.61","357.74K","8.28%"
"Feb 17, 2019","133.85","122.66","135.47","122.61","462.02K","9.13%"
"Feb 16, 2019","122.66","121.65","124.50","121.62","564.11K","0.83%"
"Feb 15, 2019","121.66","120.40","123.90","120.33","632.73K","1.04%"
"Feb 14, 2019","120.40","121.98","124.31","120.34","460.91K","-1.29%"
"Feb 13, 2019","121.98","122.24","126.29","120.81","598.19K","-0.35%"
"Feb 12, 2019","122.41","120.87","123.65","118.62","618.13K","1.28%"
"Feb 11, 2019","120.87","124.99","125.10","119.34","526.97K","-3.30%"
"Feb 10, 2019","124.99","119.15","125.73","115.93","463.14K","4.79%"
"Feb 09, 2019","119.28","119.20","121.02","117.71","499.47K","0.06%"
"Feb 08, 2019","119.20","104.38","122.74","103.63","578.96K","14.16%"
"Feb 07, 2019","104.42","104.57","106.00","104.05","454.76K","-0.18%"
"Feb 06, 2019","104.60","107.19","107.54","101.55","504.35K","-2.42%"
"Feb 05, 2019","107.20","107.73","108.09","106.60","413.72K","-0.50%"
"Feb 04, 2019","107.73","107.43","109.12","106.62","532.20K","0.33%"
"Feb 03, 2019","107.38","110.49","111.08","105.97","425.16K","-2.79%"
"Feb 02, 2019","110.47","106.76","110.95","106.17","387.05K","3.47%"
"Feb 01, 2019","106.76","106.39","108.31","103.88","441.48K","0.43%"
"Jan 31, 2019","106.30","108.35","110.47","105.60","453.65K","-1.89%"
"Jan 30, 2019","108.35","104.55","109.59","103.60","569.87K","3.61%"
"Jan 29, 2019","104.58","105.39","106.45","102.44","475.20K","-0.84%"
"Jan 28, 2019","105.47","112.17","112.82","101.09","644.16K","-5.97%"
"Jan 27, 2019","112.17","115.51","115.80","111.57","536.71K","-2.90%"
