"","Date","Headline","Description","HeadlineTerms","DescriptionTerms"
"1","2019-04-26","UK factories stockpile for Brexit at fastest pace in at least 60 years - CBI","With Brexit looming, British factories stockpiled over the last three months at the fastest pace since records began in the 1950s, and they're increasingly downbeat about their prospects, a survey showed on Friday.","uk, factories, stockpile, brexit, fastest, pace, least, years, cbi","brexit, looming, british, factories, stockpiled, last, three, months, fastest, pace, since, records, began, s, re, increasingly, downbeat, prospects, survey, showed, friday"
"2","2019-04-26","Goldman Sachs says dragged-out Brexit is doing deeper damage to UK economy","Britain's protracted divorce from the European Union is hurting the world's fifth largest economy as dwindling company investment, signs of a looming labour market shock and poor productivity hinder growth, Goldman Sachs said.","goldman, sachs, says, dragged, brexit, deeper, damage, uk, economy","britain, s, protracted, divorce, european, union, hurting, world, s, fifth, largest, economy, dwindling, company, investment, signs, looming, labour, market, shock, poor, productivity, hinder, growth, goldman, sachs, said"
"3","2019-04-26","UK banks' mortgage approvals hit nine-month high in March - UK Finance","British banks last month approved the greatest number of mortgages since June 2018, a tentative sign that the worst of the housing market's slowdown ahead of Brexit may have passed, data showed on Friday.","uk, banks, mortgage, approvals, hit, nine, month, high, march, uk, finance","british, banks, last, month, approved, greatest, number, mortgages, since, june, tentative, sign, worst, housing, market, s, slowdown, ahead, brexit, may, passed, data, showed, friday"
"4","2019-04-25","UK retailers report first rise in sales for five months - CBI","British retail sales rose for the first time in five months in April, a leading employers' group said on Thursday, adding to signs that consumers have recovered their appetite for spending even as the country's Brexit impasse drags on.","uk, retailers, report, first, rise, sales, five, months, cbi","british, retail, sales, rose, first, time, five, months, april, leading, employers, group, said, thursday, adding, signs, consumers, recovered, appetite, spending, even, country, s, brexit, impasse, drags"
"5","2019-04-25","Bank of England to refrain from rate hike until August 2020 - NIESR","The Bank of England is likely to keep interest rates on hold until August 2020 because of a slower global economy and prolonged uncertainty about Brexit, a leading think tank said on Thursday.","bank, england, refrain, rate, hike, august, niesr","bank, england, likely, keep, interest, rates, hold, august, slower, global, economy, prolonged, uncertainty, brexit, leading, think, tank, said, thursday"
"6","2019-04-24","Britain starts search for 'highest calibre' Bank of England governor","Chancellor Philip Hammond began the search for a new governor of the Bank of England to help steer the world's fifth-biggest economy, and its global financial centre, through the upheaval of Brexit.","britain, starts, search, highest, calibre, bank, england, governor","chancellor, philip, hammond, began, search, new, governor, bank, england, help, steer, world, s, fifth, biggest, economy, global, financial, centre, upheaval, brexit"
"9","2019-04-24","Brexit clouding UK outlook, limiting investment - Hammond","Chancellor Philip Hammond said Brexit was creating ""very significant"" uncertainty about the economic outlook, deterring business investment and limiting his ability to make long-term plans on spending and taxes.","brexit, clouding, uk, outlook, limiting, investment, hammond","chancellor, philip, hammond, said, brexit, creating, significant, uncertainty, economic, outlook, deterring, business, investment, limiting, ability, make, long, term, plans, spending, taxes"
"12","2019-04-24","UK employers fear Brexit hit to economy, but plan more hiring - REC","British employers are their most worried about the economy since the 2016 Brexit referendum, but they also plan to hire extra staff, according to a survey that showed the surprising strength of the jobs market.","uk, employers, fear, brexit, hit, economy, plan, hiring, rec","british, employers, worried, economy, since, brexit, referendum, also, plan, hire, extra, staff, according, survey, showed, surprising, strength, jobs, market"
"13","2019-04-23","Britons feel a boost in their finances from rising wages - survey","British households reported the strongest growth in at least a decade in their earnings from work, a survey showed on Tuesday, suggesting that consumers and their spending can keep on supporting the economy during the Brexit crisis.","britons, feel, boost, finances, rising, wages, survey","british, households, reported, strongest, growth, least, decade, earnings, work, survey, showed, tuesday, suggesting, consumers, spending, can, keep, supporting, economy, brexit, crisis"
"14","2019-04-18","UK consumers keep calm and carry on shopping before Brexit deadline","British shoppers ignored worries about an impending Brexit deadline and spent heavily in March, official data showed on Thursday, supporting the country's sluggish economy while companies were cutting back on investment.","uk, consumers, keep, calm, carry, shopping, brexit, deadline","british, shoppers, ignored, worries, impending, brexit, deadline, spent, heavily, march, official, data, showed, thursday, supporting, country, s, sluggish, economy, companies, cutting, back, investment"
"15","2019-04-17","London slump drags UK house price growth to more than six-year low","British house prices rose at the weakest rate in six-and-a-half years in February, dragged down by London's biggest price slump in a decade as Brexit uncertainty sent chills through the property market.","london, slump, drags, uk, house, price, growth, six, year, low","british, house, prices, rose, weakest, rate, six, half, years, february, dragged, london, s, biggest, price, slump, decade, brexit, uncertainty, sent, chills, property, market"
"16","2019-04-16","UK wage growth at new decade high as employers hire in the face of Brexit","British workers' pay grew at its joint fastest pace in over a decade as employers extended their hiring spree, adding to signs that uncertainty about Brexit is prompting firms to take on workers rather than commit to longer-term investments.","uk, wage, growth, new, decade, high, employers, hire, face, brexit","british, workers, pay, grew, joint, fastest, pace, decade, employers, extended, hiring, spree, adding, signs, uncertainty, brexit, prompting, firms, take, workers, rather, commit, longer, term, investments"
"17","2019-04-15","UK businesses stash cash as Brexit gloom deepens - Deloitte","A growing number of large British-based businesses are prioritising cashflow, fearing a downturn, as their view of the long-term economic impact of Brexit has darkened to its most negative so far, accountancy firm Deloitte said on Monday.","uk, businesses, stash, cash, brexit, gloom, deepens, deloitte","growing, number, large, british, based, businesses, prioritising, cashflow, fearing, downturn, view, long, term, economic, impact, brexit, darkened, negative, far, accountancy, firm, deloitte, said, monday"
"18","2019-04-15","UK economy leans on consumers as Brexit drags on business","Moving slowly in the fog of Brexit and slowing global growth, Britain's economy is increasingly reliant on consumers and their spending as business investment and exports fade.","uk, economy, leans, consumers, brexit, drags, business","moving, slowly, fog, brexit, slowing, global, growth, britain, s, economy, increasingly, reliant, consumers, spending, business, investment, exports, fade"
"19","2019-04-15","UK property asking prices rise, Brexit delay could spur buyers - Rightmove","Asking prices for British homes rose by the most in over a year in the four weeks to April 6, a survey showed, adding to other tentative signs that the housing market may have passed the worst of its slowdown ahead of Brexit.","uk, property, asking, prices, rise, brexit, delay, spur, buyers, rightmove","asking, prices, british, homes, rose, year, four, weeks, april, survey, showed, adding, tentative, signs, housing, market, may, passed, worst, slowdown, ahead, brexit"
"20","2019-04-15","UK fears Brexit could hurt global hunt for new BoE governor","British finance minister Philip Hammond has fired the starting gun for the race to succeed Bank of England Governor Mark Carney, but concerns about Brexit may keep some potential contestants on the sidelines.","uk, fears, brexit, hurt, global, hunt, new, boe, governor","british, finance, minister, philip, hammond, fired, starting, gun, race, succeed, bank, england, governor, mark, carney, concerns, brexit, may, keep, potential, contestants, sidelines"
"21","2019-04-12","IMF chief says Brexit delay averts 'terrible outcome'","The six-month delay of Britain's exit from the European Union avoids the ""terrible outcome"" of a ""no-deal"" Brexit that would further pressure a slowing global economy but does nothing to lift uncertainty over the final outcome, the head of the International Monetary Fund said on Thursday.","imf, chief, says, brexit, delay, averts, terrible, outcome","six, month, delay, britain, s, exit, european, union, avoids, terrible, outcome, deal, brexit, pressure, slowing, global, economy, nothing, lift, uncertainty, final, outcome, head, international, monetary, fund, said, thursday"
"22","2019-04-11","UK house price gauge improves for first time in 8 months - RICS","A measure of British house prices improved for the first time since July but prices are still likely to fall in the coming months as Brexit weighs on the property market, according to a survey published on Thursday.","uk, house, price, gauge, improves, first, time, months, rics","measure, british, house, prices, improved, first, time, since, july, prices, still, likely, fall, coming, months, brexit, weighs, property, market, according, survey, published, thursday"
"23","2019-04-10","UK economy grows as pre-Brexit stockpiling lifts factories","Britain's Brexit-bound economy unexpectedly grew in February, helped by manufacturers rushing to meet orders from clients who are stockpiling goods ahead of the country's break from the European Union, official data showed.","uk, economy, grows, pre, brexit, stockpiling, lifts, factories","britain, s, brexit, bound, economy, unexpectedly, grew, february, helped, manufacturers, rushing, meet, orders, clients, stockpiling, goods, ahead, country, s, break, european, union, official, data, showed"
"24","2019-04-09","UK economy to lose 3.5 percent of GDP in no-deal Brexit - IMF","Britain will suffer economic damage equivalent to the loss of at least 2-3 years of normal growth between now and the end of 2021 if it leaves the European Union without an exit deal, the International Monetary Fund warned on Tuesday.","uk, economy, lose, percent, gdp, deal, brexit, imf","britain, will, suffer, economic, damage, equivalent, loss, least, years, normal, growth, now, end, leaves, european, union, without, exit, deal, international, monetary, fund, warned, tuesday"
"25","2019-04-09","UK high-street spending falls for first time in 11 months - BRC","British shoppers cut back spending for the first time in almost a year last month, reflecting a mix of seasonal pressures and Brexit worries, the British Retail Consortium said on Tuesday.","uk, high, street, spending, falls, first, time, months, brc","british, shoppers, cut, back, spending, first, time, almost, year, last, month, reflecting, mix, seasonal, pressures, brexit, worries, british, retail, consortium, said, tuesday"
"27","2019-04-05","UK house price growth cools in early 2019, outlook subdued - Halifax","British house price growth cooled in the first three months of 2019 in annual terms and the outlook is likely to remain subdued, given Brexit uncertainty and high property prices, mortgage lender Halifax said on Friday.","uk, house, price, growth, cools, early, outlook, subdued, halifax","british, house, price, growth, cooled, first, three, months, annual, terms, outlook, likely, remain, subdued, given, brexit, uncertainty, high, property, prices, mortgage, lender, halifax, said, friday"
"30","2019-04-05","UK firms cut permanent staff hires at fastest pace since 2016: REC","British employers cut permanent staff-hiring at the fastest rate since mid-2016, a sign that the Brexit tumult may be starting to affect Britain's robust labour market, a survey of recruiters showed on Friday.","uk, firms, cut, permanent, staff, hires, fastest, pace, since, rec","british, employers, cut, permanent, staff, hiring, fastest, rate, since, mid, sign, brexit, tumult, may, starting, affect, britain, s, robust, labour, market, survey, recruiters, showed, friday"
"31","2019-04-05","No-deal Brexit may have steep costs for some sectors - WTO chief","If the United Kingdom leaves the European Union without a deal it could have ""very significant"" costs for some parts of the British economy, Roberto Azevedo, Director-General of the World Trade Organisation (WTO), said on Thursday.","deal, brexit, may, steep, costs, sectors, wto, chief","united, kingdom, leaves, european, union, without, deal, significant, costs, parts, british, economy, roberto, azevedo, director, general, world, trade, organisation, wto, said, thursday"
"32","2019-04-04","Brexit - UK loses £6.6 billion a quarter since referendum, S&P says","The United Kingdom has lost £6.6 billion in economic activity every quarter since it voted to leave the European Union, according to S&P Global Ratings, the latest company to estimate the damage from Brexit.","brexit, uk, loses, billion, quarter, since, referendum, s, p, says","united, kingdom, lost, billion, economic, activity, every, quarter, since, voted, leave, european, union, according, s, p, global, ratings, latest, company, estimate, damage, brexit"
"33","2019-04-04","UK new car sales fall around 3 percent in March - preliminary data","British new car registrations fell by around an annual 3 percent last month as uncertainty over diesel and Brexit continued to hit consumer confidence, according to preliminary data from an industry body.","uk, new, car, sales, fall, around, percent, march, preliminary, data","british, new, car, registrations, fell, around, annual, percent, last, month, uncertainty, diesel, brexit, continued, hit, consumer, confidence, according, preliminary, data, industry, body"
"34","2019-04-03","UK headed for downturn as Brexit worries hammer services","Britain's economy looks likely to shrink over the coming months, after Brexit worries caused the dominant services sector to contract for the first time in nearly three years, a survey showed on Wednesday.","uk, headed, downturn, brexit, worries, hammer, services","britain, s, economy, looks, likely, shrink, coming, months, brexit, worries, caused, dominant, services, sector, contract, first, time, nearly, three, years, survey, showed, wednesday"
"36","2019-04-02","UK construction activity slows for second month running - PMI","British construction activity slowed slightly for the second month in a row in March, as businesses continued to postpone major building projects due to Brexit uncertainty, an industry survey showed on Tuesday.","uk, construction, activity, slows, second, month, running, pmi","british, construction, activity, slowed, slightly, second, month, row, march, businesses, continued, postpone, major, building, projects, due, brexit, uncertainty, industry, survey, showed, tuesday"
"37","2019-04-02","Outlook for UK business darkens fast ahead of Brexit, BCC warns","Fading exports and worsening finances spurred a darker outlook for British companies last month, hurt by a slowing global economy and political chaos around Brexit, a survey showed on Tuesday.","outlook, uk, business, darkens, fast, ahead, brexit, bcc, warns","fading, exports, worsening, finances, spurred, darker, outlook, british, companies, last, month, hurt, slowing, global, economy, political, chaos, around, brexit, survey, showed, tuesday"
"38","2019-04-01","Brexit uncertainty has cost Britain £600 million a week - Goldman Sachs","Britain's chaotic exit from the European Union has cost the economy about 600 million pounds per week since the 2016 referendum, Goldman Sachs said on Monday in a report that underscores how Brexit uncertainty has dented investment.","brexit, uncertainty, cost, britain, million, week, goldman, sachs","britain, s, chaotic, exit, european, union, cost, economy, million, pounds, per, week, since, referendum, goldman, sachs, said, monday, report, underscores, brexit, uncertainty, dented, investment"
