"","Date","Headline","Description","HeadlineTerms","DescriptionTerms"
"6","2019-04-26","Hammond optimistic of finding Brexit compromise with Corbyn's Labour","Chancellor Philip Hammond said on Friday that he was hopeful of clinching a Brexit compromise with the Labour Party to allow the ratification of Prime Minister Theresa May's thrice-defeated divorce deal.","hammond, optimistic, finding, brexit, compromise, corbyn, s, labour","chancellor, philip, hammond, said, friday, hopeful, clinching, brexit, compromise, labour, party, allow, ratification, prime, minister, theresa, may, s, thrice, defeated, divorce, deal"
"7","2019-04-26","Goldman Sachs says dragged-out Brexit is doing deeper damage to UK economy","Britain's protracted divorce from the European Union is hurting the world's fifth largest economy as dwindling company investment, signs of a looming labour market shock and poor productivity hinder growth, Goldman Sachs said.","goldman, sachs, says, dragged, brexit, deeper, damage, uk, economy","britain, s, protracted, divorce, european, union, hurting, world, s, fifth, largest, economy, dwindling, company, investment, signs, looming, labour, market, shock, poor, productivity, hinder, growth, goldman, sachs, said"
"8","2019-04-25","Britain wants Brexit deal approved before July - May's deputy","Prime Minister Theresa May's government wants to get her thrice-defeated Brexit deal approved by parliament before the new European parliament opens in July, her de-facto deputy, David Lidington, said on Thursday.","britain, wants, brexit, deal, approved, july, may, s, deputy","prime, minister, theresa, may, s, government, wants, get, thrice, defeated, brexit, deal, approved, parliament, new, european, parliament, opens, july, de, facto, deputy, david, lidington, said, thursday"
"12","2019-04-25","Hunt says he would choose no deal over no Brexit","Foreign Secretary Jeremy Hunt said on Thursday he would opt to leave the European Union without a deal if he was faced with a choice between a no-deal Brexit or not leaving the bloc at all.","hunt, says, choose, deal, brexit","foreign, secretary, jeremy, hunt, said, thursday, opt, leave, european, union, without, deal, faced, choice, deal, brexit, leaving, bloc"
"14","2019-04-25","Hunt says next Conservative leader must believe in Brexit","Foreign Secretary Jeremy Hunt said on Thursday the next leader of the governing Conservative Party should be someone who believes in Brexit.","hunt, says, next, conservative, leader, must, believe, brexit","foreign, secretary, jeremy, hunt, said, thursday, next, leader, governing, conservative, party, someone, believes, brexit"
"15","2019-04-25","Brexit discontent drives new grassroots push for Scottish independence","As Brexit gnaws at Britain's political structure, supporters of an independent Scotland are launching a new grassroots campaign aimed at convincing a large majority of Scots to back a split from the United Kingdom.","brexit, discontent, drives, new, grassroots, push, scottish, independence","brexit, gnaws, britain, s, political, structure, supporters, independent, scotland, launching, new, grassroots, campaign, aimed, convincing, large, majority, scots, back, split, united, kingdom"
"23","2019-04-25","Factbox: The Brexit law - What is the UK government considering putting to parliament?","Prime Minister Theresa May wants to get her Brexit deal with the European Union approved by lawmakers in time to avoid taking part in next month's European Parliament elections.","factbox, brexit, law, uk, government, considering, putting, parliament","prime, minister, theresa, may, wants, get, brexit, deal, european, union, approved, lawmakers, time, avoid, taking, part, next, month, s, european, parliament, elections"
"31","2019-04-24","UK government Brexit talks with Labour cannot be open ended - May's spokesman","British government talks with the Labour Party on finding a Brexit compromise cannot be open ended, Prime Minister Theresa May's spokesman said on Wednesday.","uk, government, brexit, talks, labour, open, ended, may, s, spokesman","british, government, talks, labour, party, finding, brexit, compromise, open, ended, prime, minister, theresa, may, s, spokesman, said, wednesday"
"32","2019-04-24","Factbox - Brexit delayed: What happens next?","Britain's exit from the European Union was postponed by an agreement in Brussels this month that gave Prime Minister Theresa May until Oct. 31 to persuade parliament to approve the departure terms.","factbox, brexit, delayed, happens, next","britain, s, exit, european, union, postponed, agreement, brussels, month, gave, prime, minister, theresa, may, oct, persuade, parliament, approve, departure, terms"
"35","2019-04-23","Talks with Labour on Brexit are serious but difficult, May tells ministers","Prime Minister Theresa May told her top team of ministers on Tuesday that talks with the Labour Party aimed at finding a way forward on Brexit were serious but difficult in some areas, her spokesman said.","talks, labour, brexit, serious, difficult, may, tells, ministers","prime, minister, theresa, may, told, top, team, ministers, tuesday, talks, labour, party, aimed, finding, way, forward, brexit, serious, difficult, areas, spokesman, said"
"37","2019-04-23","EU still sees no reworking of Brexit deal","The European Commission again ruled out on Tuesday any reopening of the withdrawal treaty negotiated with Britain last year after a media report in London that Prime Minister Theresa May had asked aides to review alternative arrangements for the Irish border.","eu, still, sees, reworking, brexit, deal","european, commission, ruled, tuesday, reopening, withdrawal, treaty, negotiated, britain, last, year, media, report, london, prime, minister, theresa, may, asked, aides, review, alternative, arrangements, irish, border"
"38","2019-04-23","UK government focused on passing Brexit law, talks with Labour Party continue - spokesman","Prime Minister Theresa May's government is focused on passing the law it needs to ratify Britain's exit from the European Union, May's spokesman said on Tuesday.","uk, government, focused, passing, brexit, law, talks, labour, party, continue, spokesman","prime, minister, theresa, may, s, government, focused, passing, law, needs, ratify, britain, s, exit, european, union, may, s, spokesman, said, tuesday"
"49","2019-04-18","UK consumers keep calm and carry on shopping before Brexit deadline","British shoppers ignored worries about an impending Brexit deadline and spent heavily in March, official data showed on Thursday, supporting the country's sluggish economy while companies were cutting back on investment.","uk, consumers, keep, calm, carry, shopping, brexit, deadline","british, shoppers, ignored, worries, impending, brexit, deadline, spent, heavily, march, official, data, showed, thursday, supporting, country, s, sluggish, economy, companies, cutting, back, investment"
"51","2019-04-18","UK should 'cool down', drop Brexit - Socialist candidate to head EU Commission"," (This April 17 story was refiled to add name of debate host)","uk, cool, drop, brexit, socialist, candidate, head, eu, commission","april, story, refiled, add, name, debate, host"
"52","2019-04-18","No Brexit more likely than a disorderly one, say economists","The chances that Brexit will be cancelled are now greater than the chances Britain will leave the European Union without a deal, according to economists in a Reuters poll, who again pushed back their expectations for when the Bank of England will raise interest rates.","brexit, likely, disorderly, one, say, economists","chances, brexit, will, cancelled, now, greater, chances, britain, will, leave, european, union, without, deal, according, economists, reuters, poll, pushed, back, expectations, bank, england, will, raise, interest, rates"
"53","2019-04-17","Farage's Brexit Party to top EU elections in Britain - poll","Nigel Farage's Brexit Party will top next month's election in Britain for the European parliament with 27 percent of the vote, far ahead of Prime Minister Theresa May's Conservatives, according to a survey published on Wednesday.","farage, s, brexit, party, top, eu, elections, britain, poll","nigel, farage, s, brexit, party, will, top, next, month, s, election, britain, european, parliament, percent, vote, far, ahead, prime, minister, theresa, may, s, conservatives, according, survey, published, wednesday"
"56","2019-04-16","Labour Party denies newspaper report UK Brexit talks stalled","The Labour Party denied a Guardian newspaper report on Tuesday that Brexit talks with Prime Minister Theresa May's government had stalled.","labour, party, denies, newspaper, report, uk, brexit, talks, stalled","labour, party, denied, guardian, newspaper, report, tuesday, brexit, talks, prime, minister, theresa, may, s, government, stalled"
"59","2019-04-15","May says no-deal Brexit planning continues - spokesman","Prime Minister Theresa May has said the government will continue to plan for the possibility of a no-deal Brexit, her spokesman said on Monday.","may, says, deal, brexit, planning, continues, spokesman","prime, minister, theresa, may, said, government, will, continue, plan, possibility, deal, brexit, spokesman, said, monday"
"60","2019-04-15","Factbox - Brexit delayed: What happens next?","Britain's exit from the European Union was postponed by a late night agreement in Brussels last week that gave Prime Minister Theresa May until Oct 31 to persuade parliament to approve the terms of the country's departure.","factbox, brexit, delayed, happens, next","britain, s, exit, european, union, postponed, late, night, agreement, brussels, last, week, gave, prime, minister, theresa, may, oct, persuade, parliament, approve, terms, country, s, departure"
"63","2019-04-14","Brexit cannot define us, says PM May's deputy as ratings dip","Britain's ruling Conservative Party cannot let itself be defined solely by Brexit, Prime Minister Theresa May's de facto deputy said on Sunday, as polling showed failure to leave the European Union on schedule has badly damaged its support.","brexit, define, us, says, pm, may, s, deputy, ratings, dip","britain, s, ruling, conservative, party, let, defined, solely, brexit, prime, minister, theresa, may, s, de, facto, deputy, said, sunday, polling, showed, failure, leave, european, union, schedule, badly, damaged, support"
"64","2019-04-14","UK parliament very likely to consider new Brexit referendum - Hammond","The idea of a second Brexit referendum is very likely to be put before Britain's parliament again although the government remains opposed to any new plebiscite, the British finance minister said on Friday.","uk, parliament, likely, consider, new, brexit, referendum, hammond","idea, second, brexit, referendum, likely, put, britain, s, parliament, although, government, remains, opposed, new, plebiscite, british, finance, minister, said, friday"
"67","2019-04-12","Highlights: Hammond talks about Brexit, the BoE and PM May's successor","British finance minister Philip Hammond said on Friday it was very likely that the idea of a second Brexit referendum would be put to parliament at some point, but time was tight before October when Britain is due to leave the European Union.","highlights, hammond, talks, brexit, boe, pm, may, s, successor","british, finance, minister, philip, hammond, said, friday, likely, idea, second, brexit, referendum, put, parliament, point, time, tight, october, britain, due, leave, european, union"
"68","2019-04-12","Brexit black hole: Divorce implosion, deal, or election?","The United Kingdom now has until Oct. 31 to leave the European Union but the British political elite is still squabbling over how, when or if to Brexit.","brexit, black, hole, divorce, implosion, deal, election","united, kingdom, now, oct, leave, european, union, british, political, elite, still, squabbling, brexit"
"69","2019-04-12","Brexit talks positive and constructive, Labour's McDonnell says","Talks between Prime Minister Theresa May's government and the opposition Labour Party on Brexit are constructive and positive, Labour finance spokesman John McDonnell said on Friday.","brexit, talks, positive, constructive, labour, s, mcdonnell, says","talks, prime, minister, theresa, may, s, government, opposition, labour, party, brexit, constructive, positive, labour, finance, spokesman, john, mcdonnell, said, friday"
"70","2019-04-12","Watch out parliament, Farage warns at launch of new Brexit Party","Nigel Farage, one of the leaders of a campaign to leave the European Union, launched a new Brexit Party on Friday, promising to put ""the fear of God"" into lawmakers he accused of betraying Britain's decision to quit the bloc.","watch, parliament, farage, warns, launch, new, brexit, party","nigel, farage, one, leaders, campaign, leave, european, union, launched, new, brexit, party, friday, promising, put, fear, god, lawmakers, accused, betraying, britain, s, decision, quit, bloc"
"72","2019-04-12","EU stands together to avoid no-deal Brexit, German minister says","The latest European Union decision to grant Britain a further Brexit extension shows that European leaders are able to find a common solution, Germany's Economy Minister Peter Altmaier said on Friday.","eu, stands, together, avoid, deal, brexit, german, minister, says","latest, european, union, decision, grant, britain, brexit, extension, shows, european, leaders, able, find, common, solution, germany, s, economy, minister, peter, altmaier, said, friday"
"79","2019-04-11","Britain standing down no-deal operational planning - Sky","British government departments are standing down their planning for a no-deal Brexit with immediate effect, Sky News said on Thursday.","britain, standing, deal, operational, planning, sky","british, government, departments, standing, planning, deal, brexit, immediate, effect, sky, news, said, thursday"
