"","Date","Headline","Description","HeadlineTerms","DescriptionTerms"
"1","2019-04-26","UK factories stockpile for Brexit at fastest pace in at least 60 years - CBI","With Brexit looming, British factories stockpiled over the last three months at the fastest pace since records began in the 1950s, and they're increasingly downbeat about their prospects, a survey showed on Friday.","uk, factories, stockpile, brexit, fastest, pace, least, years, cbi","brexit, looming, british, factories, stockpiled, last, three, months, fastest, pace, since, records, began, s, re, increasingly, downbeat, prospects, survey, showed, friday"
"2","2019-04-26","Hammond optimistic of finding Brexit compromise with Corbyn's Labour","Chancellor Philip Hammond said on Friday that he was hopeful of clinching a Brexit compromise with the Labour Party to allow the ratification of Prime Minister Theresa May's thrice-defeated divorce deal.","hammond, optimistic, finding, brexit, compromise, corbyn, s, labour","chancellor, philip, hammond, said, friday, hopeful, clinching, brexit, compromise, labour, party, allow, ratification, prime, minister, theresa, may, s, thrice, defeated, divorce, deal"
"3","2019-04-26","Goldman Sachs says dragged-out Brexit is doing deeper damage to UK economy","Britain's protracted divorce from the European Union is hurting the world's fifth largest economy as dwindling company investment, signs of a looming labour market shock and poor productivity hinder growth, Goldman Sachs said.","goldman, sachs, says, dragged, brexit, deeper, damage, uk, economy","britain, s, protracted, divorce, european, union, hurting, world, s, fifth, largest, economy, dwindling, company, investment, signs, looming, labour, market, shock, poor, productivity, hinder, growth, goldman, sachs, said"
"4","2019-04-25","Britain wants Brexit deal approved before July - May's deputy","Prime Minister Theresa May's government wants to get her thrice-defeated Brexit deal approved by parliament before the new European parliament opens in July, her de-facto deputy, David Lidington, said on Thursday.","britain, wants, brexit, deal, approved, july, may, s, deputy","prime, minister, theresa, may, s, government, wants, get, thrice, defeated, brexit, deal, approved, parliament, new, european, parliament, opens, july, de, facto, deputy, david, lidington, said, thursday"
"5","2019-04-25","European Medicines Agency to appeal Brexit lease case","The European Medicines Agency (EMA), one of the EU's biggest regulators, is appealing against a London ruling that has blocked its plans to break a 25-year, £500 million lease of its London headquarters because of Brexit.","european, medicines, agency, appeal, brexit, lease, case","european, medicines, agency, ema, one, eu, s, biggest, regulators, appealing, london, ruling, blocked, plans, break, year, million, lease, london, headquarters, brexit"
"6","2019-04-25","Hunt says he would choose no deal over no Brexit","Foreign Secretary Jeremy Hunt said on Thursday he would opt to leave the European Union without a deal if he was faced with a choice between a no-deal Brexit or not leaving the bloc at all.","hunt, says, choose, deal, brexit","foreign, secretary, jeremy, hunt, said, thursday, opt, leave, european, union, without, deal, faced, choice, deal, brexit, leaving, bloc"
"7","2019-04-25","Hunt says next Conservative leader must believe in Brexit","Foreign Secretary Jeremy Hunt said on Thursday the next leader of the governing Conservative Party should be someone who believes in Brexit.","hunt, says, next, conservative, leader, must, believe, brexit","foreign, secretary, jeremy, hunt, said, thursday, next, leader, governing, conservative, party, someone, believes, brexit"
"8","2019-04-25","Brexit discontent drives new grassroots push for Scottish independence","As Brexit gnaws at Britain's political structure, supporters of an independent Scotland are launching a new grassroots campaign aimed at convincing a large majority of Scots to back a split from the United Kingdom.","brexit, discontent, drives, new, grassroots, push, scottish, independence","brexit, gnaws, britain, s, political, structure, supporters, independent, scotland, launching, new, grassroots, campaign, aimed, convincing, large, majority, scots, back, split, united, kingdom"
"9","2019-04-25","Factbox: The Brexit law - What is the UK government considering putting to parliament?","Prime Minister Theresa May wants to get her Brexit deal with the European Union approved by lawmakers in time to avoid taking part in next month's European Parliament elections.","factbox, brexit, law, uk, government, considering, putting, parliament","prime, minister, theresa, may, wants, get, brexit, deal, european, union, approved, lawmakers, time, avoid, taking, part, next, month, s, european, parliament, elections"
"10","2019-04-24","UK government Brexit talks with Labour cannot be open ended - May's spokesman","British government talks with the Labour Party on finding a Brexit compromise cannot be open ended, Prime Minister Theresa May's spokesman said on Wednesday.","uk, government, brexit, talks, labour, open, ended, may, s, spokesman","british, government, talks, labour, party, finding, brexit, compromise, open, ended, prime, minister, theresa, may, s, spokesman, said, wednesday"
