"Date","Price","Open","High","Low","Change %"
"Apr 19, 2019","1.1555","1.1564","1.1580","1.1540","-0.16%"
"Apr 18, 2019","1.1574","1.1547","1.1583","1.1534","0.23%"
"Apr 17, 2019","1.1548","1.1570","1.1577","1.1516","-0.16%"
"Apr 16, 2019","1.1567","1.1588","1.1600","1.1543","-0.14%"
"Apr 15, 2019","1.1583","1.1574","1.1606","1.1561","0.06%"
"Apr 14, 2019","1.1576","1.1572","1.1585","1.1559","0.00%"
"Apr 12, 2019","1.1576","1.1602","1.1614","1.1550","-0.23%"
"Apr 11, 2019","1.1603","1.1616","1.1630","1.1581","-0.08%"
"Apr 10, 2019","1.1612","1.1596","1.1641","1.1570","0.12%"
"Apr 09, 2019","1.1598","1.1589","1.1637","1.1555","-0.03%"
"Apr 08, 2019","1.1602","1.1623","1.1644","1.1565","-0.17%"
"Apr 07, 2019","1.1622","1.1617","1.1630","1.1610","-0.02%"
"Apr 05, 2019","1.1624","1.1656","1.1688","1.1576","-0.27%"
"Apr 04, 2019","1.1655","1.1715","1.1739","1.1633","-0.52%"
"Apr 03, 2019","1.1716","1.1721","1.1763","1.1682","-0.03%"
"Apr 02, 2019","1.1719","1.1681","1.1741","1.1616","0.30%"
"Apr 01, 2019","1.1684","1.1610","1.1732","1.1588","0.70%"
"Mar 31, 2019","1.1602","1.1601","1.1624","1.1593","-0.13%"
"Mar 29, 2019","1.1618","1.1614","1.1695","1.1559","-0.01%"
"Mar 28, 2019","1.1619","1.1730","1.1752","1.1614","-0.95%"
"Mar 27, 2019","1.1731","1.1722","1.1790","1.1693","0.05%"
"Mar 26, 2019","1.1725","1.1672","1.1740","1.1632","0.45%"
"Mar 25, 2019","1.1672","1.1673","1.1715","1.1630","-0.16%"
"Mar 24, 2019","1.1690","1.1681","1.1715","1.1678","0.12%"
"Mar 22, 2019","1.1677","1.1523","1.1722","1.1510","1.32%"
"Mar 21, 2019","1.1525","1.1563","1.1581","1.1462","-0.32%"
"Mar 20, 2019","1.1562","1.1689","1.1702","1.1538","-1.09%"
"Mar 19, 2019","1.1689","1.1696","1.1723","1.1667","-0.05%"
"Mar 18, 2019","1.1695","1.1735","1.1751","1.1629","-0.43%"
"Mar 17, 2019","1.1746","1.1739","1.1750","1.1725","0.06%"
"Mar 15, 2019","1.1739","1.1712","1.1755","1.1660","0.20%"
"Mar 14, 2019","1.1715","1.1776","1.1779","1.1678","-0.53%"
"Mar 13, 2019","1.1777","1.1583","1.1808","1.1568","1.68%"
"Mar 12, 2019","1.1582","1.1692","1.1801","1.1553","-0.94%"
"Mar 11, 2019","1.1692","1.1586","1.1722","1.1523","1.13%"
"Mar 10, 2019","1.1561","1.1578","1.1588","1.1522","-0.17%"
"Mar 08, 2019","1.1581","1.1692","1.1703","1.1554","-0.92%"
"Mar 07, 2019","1.1689","1.1647","1.1715","1.1592","0.35%"
"Mar 06, 2019","1.1648","1.1654","1.1658","1.1599","-0.05%"
"Mar 05, 2019","1.1654","1.1631","1.1664","1.1565","0.21%"
"Mar 04, 2019","1.1630","1.1606","1.1689","1.1592","-0.06%"
"Mar 03, 2019","1.1637","1.1611","1.1660","1.1592","0.27%"
"Mar 01, 2019","1.1606","1.1664","1.1678","1.1596","-0.50%"
"Feb 28, 2019","1.1664","1.1707","1.1722","1.1644","-0.35%"
"Feb 27, 2019","1.1705","1.1630","1.1724","1.1622","0.68%"
"Feb 26, 2019","1.1626","1.1522","1.1682","1.1515","0.83%"
"Feb 25, 2019","1.1530","1.1533","1.1547","1.1494","0.10%"
"Feb 24, 2019","1.1519","1.1510","1.1538","1.1503","0.10%"
"Feb 22, 2019","1.1507","1.1507","1.1527","1.1455","-0.06%"
"Feb 21, 2019","1.1514","1.1513","1.1543","1.1487","0.03%"
"Feb 20, 2019","1.1511","1.1520","1.1531","1.1473","-0.07%"
"Feb 19, 2019","1.1519","1.1426","1.1534","1.1410","0.81%"
"Feb 18, 2019","1.1426","1.1425","1.1462","1.1405","0.00%"
"Feb 17, 2019","1.1425","1.1417","1.1457","1.1414","0.11%"
"Feb 15, 2019","1.1413","1.1333","1.1427","1.1314","0.63%"
"Feb 14, 2019","1.1342","1.1409","1.1428","1.1310","-0.57%"
"Feb 13, 2019","1.1407","1.1381","1.1441","1.1366","0.21%"
"Feb 12, 2019","1.1383","1.1391","1.1426","1.1374","-0.12%"
"Feb 11, 2019","1.1397","1.1432","1.1442","1.1391","-0.24%"
"Feb 10, 2019","1.1424","1.1424","1.1442","1.1417","-0.02%"
"Feb 08, 2019","1.1427","1.1424","1.1444","1.1407","0.09%"
"Feb 07, 2019","1.1417","1.1385","1.1463","1.1346","0.30%"
"Feb 06, 2019","1.1383","1.1343","1.1402","1.1334","0.38%"
"Feb 05, 2019","1.1340","1.1394","1.1435","1.1333","-0.50%"
"Feb 04, 2019","1.1397","1.1425","1.1465","1.1393","-0.17%"
